anime_id,name,genre,type,episodes,rating,members
30098,Lao Fu Zi Fan Dou Zhen Tan,"Comedy, Seinen",Movie,1,5.94,58
30096,Lao Fu Zi Shui Hu Chuan,"Comedy, Historical, Seinen",Movie,1,6.71,65
30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",Movie,1,6.15,60
31673,Larva 2nd Season,Comedy,TV,34,7.05,92
31674,Larva 3rd Season,Comedy,TV,26,7.09,60
29712,Learn to Love,Dementia,Movie,1,5.5,89
23597,Legend of Basara: Shinbashi Theater,Comedy,Special,1,6.31,163
30343,Legend of the Moles: The Frozen Horror,"Adventure, Fantasy, Kids",Movie,1,6,45
30349,Legend of the Moles: The Treasure of Scylla,"Adventure, Fantasy, Kids",Movie,1,7.2,44
6065,Lemon Angel YJ-ban,"Romance, School",OVA,2,5.71,217
29003,Lena lena,Slice of Life,TV,13,5.33,69
31054,"Letchu, Getchu, Saru Getchu",Comedy,TV,76,5.05,104
32310,"Letchu, Getchu, Saru Getchu Episode 0",Comedy,Special,1,3.52,54
22421,Licca-chan to Mahou no Kuni,"Fantasy, Kids",ONA,7,4.38,72
33782,Life!,"Comedy, Slice of Life",TV,Unknown,5.25,91
16820,Lightning Atom,"Action, Kids, Super Power",Movie,1,5.11,62
32784,Lina Poe Poe,Music,Music,1,3.93,69
18155,Linetown,Comedy,TV,50,6.18,369
13177,Little Charo,Slice of Life,TV,50,6.57,131
13179,Little Charo 2,Slice of Life,TV,50,6.3,103
13465,Little Charo: Touhoku-hen,Kids,TV,12,6.25,102
25027,"Little Polar Bear: Shirokuma-kun, Doko e?","Adventure, Fantasy, Kids",Movie,1,6.56,107
25029,"Little Polar Bear: Shirokuma-kun, Fune ni Noru","Adventure, Fantasy, Kids",OVA,1,5.78,109
28097,Little Twins,"Adventure, Kids",OVA,3,6,62
28099,Little Twins: Bokura no Natsu ga Tondeiku,"Adventure, Kids",Movie,1,6.71,61
29421,Liv &amp; Bell,"Adventure, Kids",Special,3,6.5,42
17102,Lolling Seutajeu,"Kids, Sports",TV,26,5.6,84
17104,Lolling Seutajeu (Movie),"Kids, Sports",Movie,1,6,63
32823,Long Zai Na Li,"Adventure, Comedy",Movie,1,7.5,40
31493,Lord of Vermillion III Special Anime Movie,"Action, Adventure, Fantasy",Special,1,5.39,112
32844,Love Will Find the Way Back Home,Music,Music,1,4.89,72
23901,Lovely Movie: Itoshi no Muco Season 2,Slice of Life,TV,22,5.58,293
23899,Lovely Movie: Itoshi no Muco Specials,Slice of Life,Special,3,4.67,166
31205,Lulin Da Maoxian,"Adventure, Fantasy",Movie,1,6.5,46
33443,Luo Xiao Hei Zhan Ji,"Comedy, Supernatural",ONA,Unknown,7.4,73
31984,Lupin Shanshei Pilot,"Comedy, Parody",Special,1,5.5,171
33755,Ma Shen,"Drama, Game",ONA,Unknown,6,306
7500,Maabou no Shounen Koukuu Tsuwamono,Historical,Movie,1,5.88,110
30055,Mabeob Chunjamun: Daemawangui Buhwaleul Magala,,Movie,1,4.6,41
30057,Mabeobsaui Adeul Koli,"Adventure, Comedy, Fantasy",TV,13,4.2,44
27965,Maboroshi Mabo-chan,"Adventure, Fantasy, Kids",TV,24,6,52
4905,Mach Girl,"Cars, Comedy",TV,26,5.47,222
19971,Machi Ichiban no Kechinbou,"Drama, Historical, Music, Supernatural",Special,1,5.61,117
16131,Machine Robo: Butchigiri Battle Hackers,"Action, Mecha, Sci-Fi",TV,31,6.22,239
6577,"Machine Robo: Leina, The Legend of Wolf Blade","Action, Martial Arts, Mecha, Super Power",OVA,3,6.25,248
30673,Made in Japan,Comedy,Movie,1,4.43,46
30873,Madou King Granzort: Nonstop Rabi,"Action, Comedy, Fantasy, Magic, Mecha, Sci-Fi, Shounen",Special,1,6.71,69
3828,Maegami Tarou,Adventure,Special,1,6.08,105
31463,"Maemilggot, Unsu Joeun Nal, Geurigo Bombom","Drama, Slice of Life",Movie,1,5.5,67
15915,Magical Hat,"Adventure, Comedy, Fantasy, Kids",TV,33,5.3,140
33907,Magical Music Train,Music,Music,1,3.53,61
28559,Magical Puuta no Hi Asobi wa Abunai yo,"Drama, Kids, Magic",OVA,1,6.2,41
15407,Magical Suite Prism Nana,Magic,OVA,7,7.93,6797
22827,Magical★Taruruuto-kun Movie,"Adventure, Comedy, Ecchi, Fantasy, Magic, School",Movie,1,6,77
22981,Magical★Taruruuto-kun: Moeru! Yuujou no Mahou Taisen,"Adventure, Comedy, Ecchi, Fantasy, Magic, School",Movie,1,6.6,91
22979,Magical★Taruruuto-kun: Sukisuki Takoyaki!,"Adventure, Comedy, Ecchi, Fantasy, Magic, School",Movie,1,6.5,86
5151,Mahjong Hishouden: Naki no Ryuu,"Action, Drama, Game, Seinen",OVA,3,6.39,344
23129,Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special,"Magic, Music, Shoujo",Music,1,5.49,147
30298,Mahou no Princess Minky Momo: Yume wo Dakishimete Specials,"Magic, Shoujo",Special,3,6,95
33358,Mahou no Star Magical Emi: Finale! Finale!,"Comedy, Magic, Shoujo",OVA,1,6,107
32257,Mahou no Tenshi Creamy Mami no Otogibanashi,"Fantasy, Magic, Shoujo",Special,1,5.05,97
32259,Mahou no Tenshi Creamy Mami: Perfect Memory,"Parody, Shoujo, Slice of Life",OVA,1,5,95
22239,Mahou no Yousei Persia Pilot,Magic,Special,1,5.09,151
8495,Mahoutsukai Haley no Speed Story,"Fantasy, Kids, Magic",Movie,1,6.06,256
33183,Mahoutsukai Precure! Movie,"Action, Fantasy, Magic, School, Shoujo, Slice of Life",Movie,1,7.71,514
20499,Maji,"Drama, Shounen",OVA,3,6.17,109
30094,Majin Sentai Death Ranger: Ubawareta Pudding!,"Action, Comedy",ONA,1,3.79,111
8889,Majo Demo Steady,"Comedy, Ecchi, Magic, Romance",OVA,1,5.45,177
9818,Mak Dau BoloYao WongZi,Comedy,Movie,1,7.18,102
30051,Mak Dau Dang Dang Ban wo Xin,Comedy,Movie,1,6.11,56
9817,Mak Dau Goo Si,Comedy,Movie,1,7.02,136
30052,Mak Dau wo He wo Mama,Comedy,Movie,1,6.25,56
9819,Mak Dau Xiang Dang Dang,Comedy,Movie,1,6.81,103
28577,Makehen de! Roku-nen San-kumi no Hanshin Daishinsai,"Drama, Historical, Kids",OVA,1,8,37
31008,Makeruna! Senta: Sayonara Ijime Mushi,"Drama, Kids",OVA,1,6,35
25073,Makiba no Shoujo Katori Specials,"Adventure, Drama, Historical, Slice of Life",Special,2,6.5,85
20229,Makkuro na Obentou,"Drama, Historical",Movie,1,7.67,103
32224,Mako-chan no Koutsuu Anzen,"Drama, Kids",Movie,1,3.77,39
8372,Makoto-chan,Comedy,Movie,1,5.41,160
28989,Maku,Dementia,Movie,1,6.18,86
29782,Malay Oki Kaisen,"Historical, Military",Movie,1,4.21,85
30906,Malta no Bouken,"Kids, Slice of Life",TV,12,5.33,34
26087,Mama Ohanashi Kikasete,"Fantasy, Kids",TV,15,7.4,59
33551,Mameshi-Pamyu-Pamyu,"Comedy, Parody",Special,9,5.26,110
33552,Mameshiba Bangai-hen,"Comedy, Music",Special,4,5.62,117
33542,Mameshiba Gakuen,"Comedy, School",Special,Unknown,5.13,146
